turf_name,address_line1,address_line2,unit,city,state,zip,van_household_id,van_person_id,van_id,latitude,longitude
Mock North,101 Sample Street,Fixture Building 1,Mock Unit 1,Exampleville,MI,00000,MOCK-H-000001,MOCK-P-000001,MOCK-V-000001,,
Mock Central,102 Fixture Avenue,,,Sampletown,MI,00001,MOCK-H-000002,MOCK-P-000002,MOCK-V-000002,,
Mock South,103 Synthetic Boulevard,,,Exampleville,MI,00002,MOCK-H-000003,MOCK-P-000003,MOCK-V-000003,,
Mock North,104 Fixture Avenue,,,Sampletown,MI,00003,MOCK-H-000004,MOCK-P-000004,MOCK-V-000004,,
Mock Central,105 Fixture Avenue,,Mock Unit 5,Exampleville,MI,00004,MOCK-H-000005,MOCK-P-000005,MOCK-V-000005,,
Mock South,106 Privacy Place,,,Sampletown,MI,00005,MOCK-H-000006,MOCK-P-000006,MOCK-V-000006,,
Mock North,107 Privacy Place,,,Exampleville,MI,00006,MOCK-H-000007,MOCK-P-000007,MOCK-V-000007,,
Mock Central,108 Privacy Place,,,Sampletown,MI,00007,MOCK-H-000008,MOCK-P-000008,MOCK-V-000008,,
Mock South,109 Synthetic Boulevard,,Mock Unit 9,Exampleville,MI,00008,MOCK-H-000009,MOCK-P-000009,MOCK-V-000009,,
Mock North,110 Café Fixture Way,Fixture Building 2,,Sampletown,MI,00009,MOCK-H-000010,MOCK-P-000010,MOCK-V-000010,,
Mock Central,111 Fixture Avenue,,,Exampleville,MI,00010,MOCK-H-000011,MOCK-P-000011,MOCK-V-000011,,
Mock South,112 Café Fixture Way,,,Sampletown,MI,00011,MOCK-H-000012,MOCK-P-000012,MOCK-V-000012,,
Mock North,113 Synthetic Boulevard,,Mock Unit 13,Exampleville,MI,00012,MOCK-H-000013,MOCK-P-000013,MOCK-V-000013,,
Mock Central,114 Fixture Avenue,,,Sampletown,MI,00013,MOCK-H-000014,MOCK-P-000014,MOCK-V-000014,,
Mock South,115 Fixture Avenue,,,Exampleville,MI,00014,MOCK-H-000015,MOCK-P-000015,MOCK-V-000015,,
Mock North,116 Fixture Avenue,,,Sampletown,MI,00015,MOCK-H-000016,MOCK-P-000016,MOCK-V-000016,,
Mock Central,117 Synthetic Boulevard,,Mock Unit 17,Exampleville,MI,00016,MOCK-H-000017,MOCK-P-000017,MOCK-V-000017,,
Mock South,118 Sample Street,,,Sampletown,MI,00017,MOCK-H-000018,MOCK-P-000018,MOCK-V-000018,,
Mock North,119 Sample Street,Fixture Building 3,,Exampleville,MI,00018,MOCK-H-000019,MOCK-P-000019,MOCK-V-000019,,
Mock Central,120 Synthetic Boulevard,,,Sampletown,MI,00019,MOCK-H-000020,MOCK-P-000020,MOCK-V-000020,,
Mock South,121 Café Fixture Way,,Mock Unit 1,Exampleville,MI,00020,MOCK-H-000021,MOCK-P-000021,MOCK-V-000021,,
Mock North,122 Fixture Avenue,,,Sampletown,MI,00021,MOCK-H-000022,MOCK-P-000022,MOCK-V-000022,,
Mock Central,123 Sample Street,,,Exampleville,MI,00022,MOCK-H-000023,MOCK-P-000023,MOCK-V-000023,,
Mock South,124 Synthetic Boulevard,,,Sampletown,MI,00023,MOCK-H-000024,MOCK-P-000024,MOCK-V-000024,,
Mock North,125 Privacy Place,,Mock Unit 5,Exampleville,MI,00024,MOCK-H-000025,MOCK-P-000025,MOCK-V-000025,,
